Time_neighbor_two_step_matrixShortSameQn,,,,, :: Time_neighbor_count_matrixShortSameQn,,,,,
Q1,Q2,Q3,Q4,Q5,Q6 :: Q1,Q2,Q3,Q4,Q5,Q6
2,3,2,1,2,2 :: 2,4,4,3,2,3
10,10,9,10,9,7 :: 10,10,10,10,10,10
8,10,7,8,7,5 :: 4,8,7,6,3,3
4,4,4,4,5,3 :: 4,7,7,7,2,1
5,7,5,6,3,5 :: 8,10,10,7,3,3
4,4,2,2,2,2 :: 1,4,4,2,2,2
10,10,7,10,6,6 :: 8,9,10,9,8,8
4,5,3,3,3,3 :: 3,6,6,9,2,3
8,6,6,9,9,5 :: 5,8,8,7,4,5
5,5,10,5,3,3 :: 4,9,10,6,3,7
