name	x	y
The Guernsey Literary and Potato(-)Peel Pie Society 	3925.9	1341.9
The Savage Detectives:(-)A Novel	3635.5	1164.1
Netherland 	3714.3	1077.8
Testimony: A(-)Novel	4400.8	1341.2
Couldn't Keep It to Myself:  Wally Lamb(-)and the Women of York Correctional Institution 	4484.4	1213.1
I Know This Much Is(-)True: A Novel 	4490.6	1299.3
Interpreter of(-)Maladies	3407.8	1143.7
Olive Kitteridge:(-)Fiction	3856.6	1297.9
The Art of Racing(-)in the Rain	3733.4	1568.5
Dewey: The Small-Town Library Cat(-)Who Touched the World	3657.1	1615.7
Love: A(-)Novel	3608.9	1008.5
Jazz	3623.6	942.73
Tar Baby	3540.2	927.57
Cultural Contexts for Ralph Ellison's Invisible(-)Man: A Bedford Documentary Companion	3735.4	681.66
Spark Notes(-)Invisible Man	3144	717.78
In Our(-)Time	3247.4	890.12
Quicksand and(-)Passing 	3344.9	865.6
Zora Neale Hurston: A(-)Life in Letters	3634	511.88
Once There Was a(-)War 	2865.7	408.86
To a God(-)Unknown 	2899.3	353.33
The Adolescent	2699.8	1570.6
The Double and(-)The Gambler	2601.5	1503.8
The Myth of Sisyphus:(-)And Other Essays	2451.4	1636
The Plague	2460	1575.8
Siddhartha	2603.1	969.82
The Fall	2449.9	1524.5
Wuthering Heights(-)	2081.7	653.38
The Awakening	2878.6	1081.5
The Sun(-)Also Rises	2812.9	1037.5
To the(-)Lighthouse 	2252	1568.7
A Room of(-)One's Own	2438.9	1796.2
A Portrait of the Artist as(-)a Young Man 	2241.1	1380.5
Between the(-)Acts 	2296	1524.7
The Years(-)	2378.6	1574.1
Jacob's Room	2340.6	1480.7
The Hours	2316.5	1605.2
Orlando 	2290.1	1433.5
Spark Notes Crime(-)and Punishment	2475.2	1403.2
The Master(-)and Margarita	2746.7	1689.4
The Collected Tales of(-)Nikolai Gogol	2792.2	1631.4
Eugene Onegin: A Novel(-)in Verse 	2510.7	1712.7
Oblomov	2642	1680.4
World Without(-)End	4308.7	1655.2
A Dangerous(-)Fortune	4180.5	1744.8
Eye of(-)the Needle	4082.9	1744.6
The Key(-)to Rebecca	4134	1656.4
Choose To Be Happy: A(-)Guide to Total Happiness	4466.2	1605.5
Pilgrims	4312.8	1522.5
Stern Men	4387.4	1435.4
The Last(-)American Man	4470.7	1464.2
The Unbearable Lightness of(-)Being: A Novel	3069.5	1513.2
Collected Stories	3282.8	1469.2
Memories of My(-)Melancholy Whores	3227.7	1513.3
Chronicle of a(-)Death Foretold	3006.8	1394.4
Water for Elephants:(-)A Novel	3349	1557.3
The Virgin Suicides:(-)A Novel	3745.1	989.76
The Glass Castle:(-)A Memoir	3569.1	1484
The Other Boleyn(-)Girl 	3964.2	1711.8
On Chesil(-)Beach	3489.5	1488.3
No Country for Old(-)Men 	3937.6	1794.5
Then We Came to(-)the End: A Novel	3775.6	1165.8
Olivier Messiaen: Quartet for(-)the End of Time	3574	1076.1
The Nine: Inside the Secret World(-)of the Supreme Court	4270.4	1125
This Is Your Brain on Music:(-)The Science of a Human Obsession	4052.3	1031.1
Pride and(-)Prejudice 	1977.5	740.3
Wide Sargasso Sea:(-)A Novel	2803.7	1140.5
Emma 	2077.6	697.68
Great Expectations(-)	1964.8	904.67
Nausea	2329.9	1695
Being And(-)Nothingness	2369.9	1790.6
Things Fall(-)Apart 	2461.4	1292.8
Rosencrantz and Guildenstern(-)Are Dead	2186.7	1331
Othello 	1959.3	1057.1
King Lear(-)	1936.5	1102.2
Fool for Love and(-)Other Plays	2524.1	236.72
August: Osage(-)County	2431.4	201.53
The Clean House and(-)Other Plays	2378.3	125.99
Speed-the-Plow	2377	245.55
Topdog/underdog	2509.5	287.33
Drown	3584.3	1120.1
Out Stealing Horses:(-)A Novel	3573.5	1319.1
The Girl Who Played(-)with Fire	4308.5	1213.3
The Brass Verdict:(-)A Novel	4814.4	1206.3
A Fraction of(-)the Whole	3867.8	1159
The Secret(-)Scripture	3930.4	1252
The Northern(-)Clemency	3855.5	1253.9
Loving Frank:(-)A Novel	3672.9	1455.2
The Help	4235.9	1312.7
Tree of Smoke:(-)A Novel	3831.9	1209.8
Lush Life:(-)A Novel	3760.2	1121.8
Handle with Care:(-)A Novel	4526.3	1375.4
The Associate	4564.7	1423.5
I'll Fly Away: Further Testimonies from(-)the Women of York Prison 	4301.2	1257.9
She's Come(-)Undone 	4577.9	1257.1
Sickened: The True Story(-)of a Lost Childhood	4678.6	1253.4
Drowning Ruth: A(-)Novel 	4740.7	1312.7
Black and(-)Blue 	4776.8	1268.7
The Namesake:(-)A Novel	3438.1	1379.4
