Time_neighbor_two_step_NL-Long-Same1,Time_neighbor_count_NL-Long-Same1
4.666666666666667,4.666666666666667
4.5,6.666666666666667
4.333333333333333,5.666666666666667
6.833333333333333,3.8333333333333335
5.166666666666667,6.5
5.333333333333333,4.333333333333333
5.166666666666667,4.166666666666667
5.833333333333333,6.333333333333333
6.5,8.333333333333334
4.5,5.0
6.666666666666667,6.5
3.3333333333333335,3.8333333333333335
3.0,4.5
6.666666666666667,6.166666666666667
4.0,3.8333333333333335
1.8333333333333333,2.6666666666666665
3.8333333333333335,5.0
4.333333333333333,7.0
4.0,4.833333333333333
3.0,5.333333333333333
6.333333333333333,7.0
4.333333333333333,5.833333333333333
3.1666666666666665,3.6666666666666665
4.666666666666667,7.833333333333333
3.8333333333333335,4.833333333333333
6.166666666666667,7.833333333333333
7.333333333333333,7.0
6.333333333333333,6.833333333333333
2.6666666666666665,5.833333333333333
5.0,5.0
3.5,4.666666666666667
6.333333333333333,8.333333333333334
5.666666666666667,7.666666666666667
4.833333333333333,5.833333333333333
4.666666666666667,6.166666666666667
