Acc_neighbor_two_step_NL-LongTrainShortTime,Acc_neighbor_two_step_matrix-LongTrainShortTime
0.8333333333333334,1.0
0.8333333333333334,0.6666666666666666
1.0,1.0
0.8333333333333334,0.8333333333333334
1.0,1.0
1.0,1.0
1.0,0.6666666666666666
0.8333333333333334,0.8333333333333334
1.0,0.8333333333333334
0.8333333333333334,1.0
1.0,1.0
1.0,0.8333333333333334
1.0,0.6666666666666666
0.8333333333333334,0.8333333333333334
0.8333333333333334,0.6666666666666666
0.6666666666666666,0.8333333333333334
1.0,1.0
1.0,0.3333333333333333
0.8333333333333334,1.0
null,1.0
null,0.8333333333333334


Acc_neighbor_count_NL-LongTrainShortTime,Acc_neighbor_count_matrix-LongTrainShortTime
0.6666666666666666,1.0
0.5,1.0
0.6666666666666666,1.0
1.0,1.0
0.8333333333333334,0.8333333333333334
0.8333333333333334,1.0
0.6666666666666666,1.0
0.6666666666666666,0.8333333333333334
0.6666666666666666,0.6666666666666666
0.5,1.0
0.8333333333333334,1.0
0.8333333333333334,1.0
0.6666666666666666,1.0
0.8333333333333334,0.8333333333333334
0.8333333333333334,0.8333333333333334
1.0,0.8333333333333334
0.5,1.0
1.0,1.0
0.5,0.8333333333333334
null,0.8333333333333334
null,0.8333333333333334


Time_neighbor_two_step_NL-LongTrainShortTime,Time_neighbor_two_step_matrix-LongTrainShortTime
4.0,3.5
3.1666666666666665,3.0
2.5,3.5
3.3333333333333335,4.0
3.3333333333333335,4.0
3.6666666666666665,3.8333333333333335
3.5,2.5
3.8333333333333335,3.8333333333333335
3.1666666666666665,4.0
4.0,4.0
3.3333333333333335,3.8333333333333335
3.5,4.0
3.5,4.0
2.5,3.8333333333333335
4.0,4.0
3.3333333333333335,4.0
4.0,4.0
3.1666666666666665,2.3333333333333335
4.0,4.0
null,4.0
null,4.0


Time_neighbor_count_NL-LongTrainShortTime,Time_neighbor_count_matrix-LongTrainShortTime
4.0,2.6666666666666665
2.5,3.0
4.0,3.5
4.0,4.0
3.5,3.8333333333333335
4.0,3.0
3.3333333333333335,3.3333333333333335
3.6666666666666665,3.8333333333333335
2.8333333333333335,3.8333333333333335
4.0,3.8333333333333335
3.1666666666666665,3.1666666666666665
3.6666666666666665,3.3333333333333335
3.3333333333333335,4.0
3.0,3.8333333333333335
4.0,4.0
3.6666666666666665,4.0
4.0,3.8333333333333335
3.3333333333333335,3.5
4.0,4.0
null,4.0
null,4.0


