Time_neighbor_two_step_NL-Short-Same2,Time_neighbor_count_NL-Short-Same2
3.6666666666666665,6.333333333333333
3.8333333333333335,5.5
3.8333333333333335,4.0
5.833333333333333,7.5
5.833333333333333,9.166666666666666
4.666666666666667,7.333333333333333
3.6666666666666665,4.333333333333333
5.833333333333333,7.666666666666667
5.833333333333333,7.5
6.5,8.0
4.0,5.333333333333333
2.5,4.5
3.1666666666666665,4.833333333333333
3.1666666666666665,5.0
4.333333333333333,5.0
4.666666666666667,6.5
5.333333333333333,5.833333333333333
4.166666666666667,6.166666666666667
4.333333333333333,7.0
6.166666666666667,5.833333333333333
4.333333333333333,5.5
5.666666666666667,6.833333333333333
6.333333333333333,5.833333333333333
3.3333333333333335,4.833333333333333
3.5,5.5
4.833333333333333,7.166666666666667
4.333333333333333,6.166666666666667
4.166666666666667,6.333333333333333
5.333333333333333,6.833333333333333
5.333333333333333,5.5
4.5,6.166666666666667
4.5,7.666666666666667
4.833333333333333,7.5
4.833333333333333,6.833333333333333
4.666666666666667,5.5
