Acc_neighbor_two_step_NL-Short-Same1,Acc_neighbor_two_step_NL-Short-Same2
0.8333333333333334,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.5,1.0
1.0,1.0
0.8333333333333334,1.0
0.8333333333333334,1.0
1.0,0.8333333333333334
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.8333333333333334,1.0
1.0,0.8333333333333334
1.0,0.6666666666666666
1.0,0.5
1.0,1.0
0.5,0.8333333333333334
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.8333333333333334
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.3333333333333333,1.0


Acc_neighbor_count_NL-Short-Same1,Acc_neighbor_count_NL-Short-Same2
0.8333333333333334,0.8333333333333334
1.0,0.5
0.8333333333333334,1.0
0.8333333333333334,1.0
0.8333333333333334,1.0
0.6666666666666666,1.0
0.8333333333333334,1.0
0.8333333333333334,1.0
1.0,0.8333333333333334
0.8333333333333334,0.8333333333333334
1.0,0.8333333333333334
1.0,1.0
1.0,0.8333333333333334
0.8333333333333334,0.6666666666666666
0.6666666666666666,1.0
0.8333333333333334,0.8333333333333334
0.6666666666666666,1.0
1.0,1.0
0.8333333333333334,0.8333333333333334
0.8333333333333334,0.5
0.6666666666666666,0.6666666666666666
1.0,1.0
1.0,1.0
0.6666666666666666,1.0
1.0,1.0
1.0,1.0
1.0,0.8333333333333334
0.6666666666666666,1.0
1.0,0.8333333333333334
0.8333333333333334,0.8333333333333334
0.8333333333333334,0.6666666666666666
1.0,0.8333333333333334
1.0,1.0
1.0,1.0
0.16666666666666666,1.0


Time_neighbor_two_step_NL-Short-Same1,Time_neighbor_two_step_NL-Short-Same2
4.833333333333333,3.6666666666666665
4.0,3.8333333333333335
7.666666666666667,3.8333333333333335
4.5,5.833333333333333
3.6666666666666665,5.833333333333333
8.0,4.666666666666667
2.8333333333333335,3.6666666666666665
7.5,5.833333333333333
3.5,5.833333333333333
4.333333333333333,6.5
3.6666666666666665,4.0
5.5,2.5
5.666666666666667,3.1666666666666665
8.333333333333334,3.1666666666666665
3.5,4.333333333333333
6.333333333333333,4.666666666666667
3.5,5.333333333333333
4.833333333333333,4.166666666666667
4.666666666666667,4.333333333333333
5.333333333333333,6.166666666666667
5.0,4.333333333333333
6.5,5.666666666666667
5.666666666666667,6.333333333333333
3.8333333333333335,3.3333333333333335
3.0,3.5
5.833333333333333,4.833333333333333
4.0,4.333333333333333
5.166666666666667,4.166666666666667
5.833333333333333,5.333333333333333
4.833333333333333,5.333333333333333
4.5,4.5
3.8333333333333335,4.5
4.5,4.833333333333333
6.0,4.833333333333333
4.833333333333333,4.666666666666667


Time_neighbor_count_NL-Short-Same1,Time_neighbor_count_NL-Short-Same2
5.0,6.333333333333333
6.333333333333333,5.5
6.666666666666667,4.0
6.5,7.5
5.833333333333333,9.166666666666666
7.166666666666667,7.333333333333333
4.666666666666667,4.333333333333333
8.166666666666666,7.666666666666667
5.5,7.5
5.666666666666667,8.0
6.833333333333333,5.333333333333333
5.166666666666667,4.5
6.833333333333333,4.833333333333333
8.0,5.0
6.166666666666667,5.0
8.166666666666666,6.5
3.1666666666666665,5.833333333333333
4.0,6.166666666666667
5.166666666666667,7.0
7.333333333333333,5.833333333333333
4.5,5.5
6.333333333333333,6.833333333333333
6.833333333333333,5.833333333333333
5.666666666666667,4.833333333333333
4.0,5.5
6.833333333333333,7.166666666666667
6.0,6.166666666666667
8.5,6.333333333333333
8.833333333333334,6.833333333333333
5.333333333333333,5.5
6.0,6.166666666666667
5.333333333333333,7.666666666666667
6.5,7.5
6.0,6.833333333333333
5.0,5.5


