Acc_neighbor_two_step_matrixLongSameQn1,Acc_neighbor_two_step_matrixLongSameQn2
1.0,1.0
1.0,1.0
0.8333333333333334,1.0
1.0,1.0
1.0,0.6666666666666666
1.0,1.0
1.0,0.3333333333333333
1.0,0.8333333333333334
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.8333333333333334
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.6666666666666666,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.8333333333333334
1.0,0.8333333333333334
1.0,1.0
0.8333333333333334,1.0
1.0,1.0
1.0,1.0
0.8333333333333334,1.0
1.0,1.0


Acc_neighbor_count_matrixLongSameQn1,Acc_neighbor_count_matrixLongSameQn2
1.0,0.8333333333333334
1.0,1.0
1.0,0.8333333333333334
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.8333333333333334,1.0
1.0,0.8333333333333334
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.8333333333333334
1.0,1.0
1.0,1.0
0.16666666666666666,1.0
1.0,1.0
1.0,0.8333333333333334
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.8333333333333334
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.8333333333333334
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.8333333333333334


Time_neighbor_two_step_matrixLongSameQn1,Time_neighbor_two_step_matrixLongSameQn2
4.666666666666667,4.833333333333333
5.166666666666667,5.0
8.0,8.833333333333334
7.5,4.5
6.666666666666667,6.0
4.333333333333333,5.333333333333333
5.666666666666667,4.666666666666667
5.666666666666667,5.166666666666667
3.1666666666666665,6.333333333333333
6.666666666666667,6.666666666666667
5.833333333333333,5.333333333333333
5.166666666666667,5.0
6.333333333333333,6.666666666666667
6.666666666666667,6.166666666666667
5.166666666666667,4.5
3.6666666666666665,6.166666666666667
7.666666666666667,8.666666666666666
6.666666666666667,5.5
7.5,4.166666666666667
6.0,4.5
5.5,4.333333333333333
6.5,7.5
8.666666666666666,3.0
5.666666666666667,5.333333333333333
5.833333333333333,6.5
4.5,7.0
6.333333333333333,6.833333333333333
6.333333333333333,7.0
5.833333333333333,9.333333333333334
4.333333333333333,5.833333333333333
6.5,3.8333333333333335
5.166666666666667,6.0
9.166666666666666,8.333333333333334
7.833333333333333,5.833333333333333
7.333333333333333,8.5


Time_neighbor_count_matrixLongSameQn1,Time_neighbor_count_matrixLongSameQn2
2.8333333333333335,4.666666666666667
3.1666666666666665,5.0
4.333333333333333,3.6666666666666665
7.0,2.1666666666666665
6.166666666666667,3.0
4.333333333333333,3.5
4.666666666666667,4.0
3.5,3.8333333333333335
1.5,3.0
3.8333333333333335,4.666666666666667
3.6666666666666665,6.0
4.0,2.8333333333333335
4.166666666666667,5.333333333333333
4.833333333333333,4.5
4.5,2.0
2.3333333333333335,4.166666666666667
5.333333333333333,7.0
3.6666666666666665,3.3333333333333335
9.5,2.5
3.1666666666666665,3.0
2.6666666666666665,3.1666666666666665
4.833333333333333,5.833333333333333
5.0,2.1666666666666665
4.0,2.1666666666666665
4.333333333333333,5.333333333333333
6.166666666666667,3.0
3.5,6.166666666666667
3.8333333333333335,4.0
3.5,5.666666666666667
3.6666666666666665,4.166666666666667
3.3333333333333335,2.3333333333333335
2.8333333333333335,2.8333333333333335
7.166666666666667,5.0
4.0,4.5
5.666666666666667,5.833333333333333


