Time_neighbor_two_step_matrixLongSameQn1,Time_neighbor_count_matrixLongSameQn1
4.666666666666667,2.8333333333333335
5.166666666666667,3.1666666666666665
8.0,4.333333333333333
7.5,7.0
6.666666666666667,6.166666666666667
4.333333333333333,4.333333333333333
5.666666666666667,4.666666666666667
5.666666666666667,3.5
3.1666666666666665,1.5
6.666666666666667,3.8333333333333335
5.833333333333333,3.6666666666666665
5.166666666666667,4.0
6.333333333333333,4.166666666666667
6.666666666666667,4.833333333333333
5.166666666666667,4.5
3.6666666666666665,2.3333333333333335
7.666666666666667,5.333333333333333
6.666666666666667,3.6666666666666665
7.5,9.5
6.0,3.1666666666666665
5.5,2.6666666666666665
6.5,4.833333333333333
8.666666666666666,5.0
5.666666666666667,4.0
5.833333333333333,4.333333333333333
4.5,6.166666666666667
6.333333333333333,3.5
6.333333333333333,3.8333333333333335
5.833333333333333,3.5
4.333333333333333,3.6666666666666665
6.5,3.3333333333333335
5.166666666666667,2.8333333333333335
9.166666666666666,7.166666666666667
7.833333333333333,4.0
7.333333333333333,5.666666666666667
4.833333333333333,4.666666666666667
5.0,5.0
8.833333333333334,3.6666666666666665
4.5,2.1666666666666665
6.0,3.0
5.333333333333333,3.5
4.666666666666667,4.0
5.166666666666667,3.8333333333333335
6.333333333333333,3.0
6.666666666666667,4.666666666666667
5.333333333333333,6.0
5.0,2.8333333333333335
6.666666666666667,5.333333333333333
6.166666666666667,4.5
4.5,2.0
6.166666666666667,4.166666666666667
8.666666666666666,7.0
5.5,3.3333333333333335
4.166666666666667,2.5
4.5,3.0
4.333333333333333,3.1666666666666665
7.5,5.833333333333333
3.0,2.1666666666666665
5.333333333333333,2.1666666666666665
6.5,5.333333333333333
7.0,3.0
6.833333333333333,6.166666666666667
7.0,4.0
9.333333333333334,5.666666666666667
5.833333333333333,4.166666666666667
3.8333333333333335,2.3333333333333335
6.0,2.8333333333333335
8.333333333333334,5.0
5.833333333333333,4.5
8.5,5.833333333333333
