Time_neighbor_two_step_matrixShortSameQn,Time_neighbor_count_matrixShortSameQn
2.0,3.0
9.166666666666666,10.0
7.5,5.166666666666667
4.0,4.666666666666667
5.166666666666667,6.833333333333333
2.6666666666666665,2.5
8.166666666666666,8.666666666666666
3.5,4.833333333333333
7.166666666666667,6.166666666666667
5.166666666666667,6.5
4.833333333333333,5.166666666666667
3.8333333333333335,4.833333333333333
5.5,6.666666666666667
5.0,4.333333333333333
7.833333333333333,4.666666666666667
7.666666666666667,7.5
7.5,10.0
5.833333333333333,6.0
2.6666666666666665,3.8333333333333335
4.666666666666667,4.666666666666667
6.0,5.333333333333333
6.166666666666667,4.833333333333333
7.333333333333333,5.833333333333333
5.833333333333333,5.0
7.333333333333333,5.666666666666667
5.166666666666667,4.333333333333333
5.5,3.6666666666666665
7.833333333333333,6.833333333333333
6.0,5.333333333333333
6.333333333333333,5.5
6.5,4.5
7.333333333333333,6.0
5.333333333333333,5.0
5.0,4.666666666666667
5.166666666666667,4.0
6.0,4.666666666666667
4.0,4.833333333333333
6.833333333333333,5.5
5.833333333333333,4.166666666666667
6.0,3.5
6.0,5.166666666666667
4.666666666666667,2.8333333333333335
3.5,3.8333333333333335
5.666666666666667,4.5
7.166666666666667,5.0
5.833333333333333,3.5
4.666666666666667,4.0
6.5,5.666666666666667
5.5,4.5
5.833333333333333,6.666666666666667
5.333333333333333,3.5
6.666666666666667,6.0
8.5,6.666666666666667
8.333333333333334,8.333333333333334
4.333333333333333,2.8333333333333335
4.166666666666667,3.8333333333333335
4.833333333333333,5.5
8.166666666666666,8.833333333333334
5.833333333333333,6.0
6.333333333333333,6.5
7.0,6.166666666666667
5.833333333333333,4.166666666666667
6.833333333333333,6.166666666666667
9.333333333333334,10.0
7.166666666666667,5.5
5.333333333333333,5.0
7.5,5.333333333333333
7.0,7.166666666666667
6.5,6.166666666666667
6.333333333333333,5.333333333333333
